Player,Class,Pos,School,weight,FT,IN,Height_IN,fty_dash,fty_pct_given_mass,Vertical,vrt_pct_given_mass,Bench,bch_pct_given_mass,broad_jump,bj_pct_given_mass,three_cone,three_pct_given_mass,Shuttle,shud_pct_given_mass,RAS
Marcus McKethan,2022,OG,North Carolina,340,6,7,79,5.31,1.362671256,27.5,1.27305039,27,2.06453811,110,1.436061808,7.81,1.631656694,4.99,1.714526971,9.48250523
Nick Zakelj,2022,OT,Fordham,316,6,6,78,5.13,1.294326754,28.5,1.210691344,27,1.894517325,110,1.317797895,7.75,1.485782137,4.71,1.48504755,8.688163005
Cole Strange,2022,OG,Tennessee-Chattanooga,307,6,5,77,5.03,1.266020458,28,1.140759316,31,2.086142285,120,1.378747651,7.44,1.367961205,4.5,1.360753254,8.60038417
Bernhard Raimann,2022,OT,Central Michigan,303,6,6,78,5.05,1.260739794,30.5,1.242349995,30,2.018420357,117,1.343994625,7.46,1.371348398,4.49,1.357442178,8.594295347
Zion Johnson,2022,OG,Boston Col.,312,6,3,75,5.18,1.216930303,32,1.290543738,32,2.131665063,112,1.27382075,7.38,1.343210148,4.46,1.335022187,8.591192188
William Dunkle,2022,OG,San Diego St.,328,6,5,77,5.44,1.250677328,26,1.131735161,25,1.797453687,95,1.166172009,7.97,1.56564983,4.91,1.586294536,8.497982551
Cordell Volson,2022,OG,North Dakota St.,315,6,6,78,5.27,1.255955203,25,1.05864916,25,1.748631497,104,1.241975231,8.31,1.588100291,4.93,1.549493801,8.442805182
Obinna Eze,2022,OT,TCU,321,6,7,79,5.17,1.3213601,27.5,1.201909339,18,1.299444575,104,1.281857952,8.2,1.617401051,5.08,1.647910433,8.36988345
Abraham Lucas,2022,OT,Washington St.,315,6,6,78,4.92,1.345301609,27,1.143341093,24,1.678686237,107,1.277801439,7.25,1.385526728,4.4,1.38291536,8.213572466
Dawson Deaton,2022,C,Texas Tech,306,6,6,78,5.12,1.255815029,29,1.192946368,24,1.630723773,108,1.252893694,7.52,1.396064921,4.49,1.3708822,8.099325986
Lecitus Smith,2022,OG,Virginia Tech,314,6,3,75,5.18,1.224731138,26.35,1.069494174,23,1.541955638,99,1.13318429,7.88,1.443407222,4.78,1.439980382,7.852752843
Alec Lindstrom,2022,C,Boston Col.,296,6,3,75,5.18,1.154523621,29,1.10957807,25,1.579960083,111,1.19770646,7.5,1.29504835,4.66,1.323355901,7.660172484
Zach Thomas,2022,OG,San Diego St.,308,6,5,77,4.96,1.288069727,22.5,0.919667527,21,1.417796396,107,1.233387828,7.4,1.365038518,4.65,1.410691865,7.634651861
Matthew Butler,2022,DT,Tennessee,297,6,4,76,5,1.216129001,32,1.244878344,17,1.092375861,112,1.228747092,7.89,1.385220116,4.81,1.38884214,7.556192554
Trevor Penning,2022,OT,Northern Iowa,325,6,7,79,4.89,1.41442916,28,1.23901161,,0,111,1.385185287,7.25,1.447838776,4.62,1.517365464,7.003830296
Sean Rhyan,2022,OG,UCLA,321,6,5,77,5.25,1.268282681,33.5,1.427077164,,0,110,1.321486959,7.55,1.451491357,4.81,1.520822752,6.989160914
Daniel Bellinger,2022,TE,San Diego St.,253,6,5,77,4.63,1.133469565,34.5,1.158343147,22,1.220076491,125,1.183574768,7.05,1.068248049,4.47,1.113926502,6.877638522
Chris Paul,2022,OG,Tulsa,323,6,4,76,4.89,1.352343019,27,1.142317344,,0,109,1.300520048,7.74,1.477844774,4.83,1.51670463,6.789729816
Tyler Smith,2022,OT,Tulsa,324,6,5,77,5.02,1.33878743,27.5,1.182429677,,0,105,1.273208336,7.78,1.509687563,4.65,1.483974559,6.788087565
DJ Davidson,2022,DT,Arizona St.,327,6,3,75,,1,28,1.183515471,23,1.605794565,,0,7.85,1.497443406,4.72,1.480774006,6.767527448
Chad Muma,2022,LB,Wyoming,239,6,3,75,4.63,1.042936294,40,1.235736993,27,1.377767894,129,1.123888723,7.06,0.984318415,4.28,0.981387904,6.746036223
Travis Jones,2022,DT,Connecticut,325,6,4,76,4.92,1.352419607,28.5,1.213245545,,0,110,1.320578059,7.33,1.40822702,4.58,1.447105515,6.741575745
Kellen Diesch,2022,OT,Arizona St.,301,6,7,79,4.89,1.309979006,32.5,1.33193748,,0,110,1.271337071,7.77,1.437097886,4.43,1.347519568,6.697871012
Blaise Andries,2022,OG,Minnesota,308,6,6,78,5.1,1.268979923,30.5,1.26285082,,0,106,1.237729162,7.84,1.464984827,4.68,1.438231974,6.672776707
Darian Kinnard,2022,OG,Kentucky,322,6,5,77,5.31,1.257858196,25,1.068300662,,0,99,1.193043367,8.11,1.564008813,4.96,1.57313517,6.656346208
Kenyon Green,2022,OG,Texas A&M,323,6,4,76,5.24,1.262014764,26,1.100009294,20,1.397652617,102,1.217000412,,0,5.12,1.607769712,6.584446799
Ikem Ekwonu,2022,OT,North Carolina St.,310,6,4,76,4.93,1.287383607,29,1.177552222,,0,108,1.23672597,7.82,1.433025056,4.73,1.425522886,6.560209741
Logan Bruss,2022,OG,Wisconsin,309,6,5,77,5.32,1.204806163,31,1.271211434,,0,112,1.295214406,7.57,1.400931269,4.55,1.384836075,6.556999347
Andrew Stueber,2022,OT,Michigan,325,6,7,79,,1,24.5,1.084135158,,0,101,1.26039382,7.94,1.585633087,4.9,1.609327007,6.539489073
