position,allpro_2014,allpro_2015,allpro_2016,allpro_2017,allpro_2018,allpro_2019,allpro_2020,allpro_2021,allpro_2022,allpro_2023
QB,Aaron Rodgers,Cam Newton,Matt Ryan,Tom Brady,Patrick Mahomes,Lamar Jackson,Aaron Rodgers,Aaron Rodgers,Patrick Mahomes,Lamar Jackson
QB,Tom Brady,Carson Palmer,Tom Brady,Carson Wentz,Drew Brees,Russell Wilson,Patrick Mahomes,Tom Brady,Jalen Hurts,Dak Prescott
QB,Tony Romo,Tom Brady,Ezekiel Elliott,Matt Ryan,Todd Gurley,Ben Roethlisberger,Josh Allen,Joe Burrow,Joe Burrow,Josh Allen
RB,Christian McCaffrey,Doug Martin,David Johnson,Todd Gurley,Saquon Barkley,Derrick Henry,Derrick Henry,Jonathan Taylor,Josh Jacobs,Christian McCaffrey
RB,Le'Veon Bell,Adrian Peterson,Le'Veon Bell,Le'Veon Bell,Ezekiel Elliott,Dalvin Cook,Dalvin Cook,Nick Chubb,Nick Chubb,Kyren Williams
RB,DeMarco Murray,Latavius Murray,DeMarco Murray,Alvin Kamara,Phillip Lindsay,Nick Chubb,Alvin Kamara,Joe Mixon,Saquon Barkley,Raheem Mostert
RB,Marshawn Lynch,Chris Ivory,Jay Ajayi,Kareem Hunt,Derrick Henry,Michael Thomas,Nick Chubb,Dalvin Cook,Derrick Henry,Derrick Henry
RB,Justin Forsett,Devonta Freeman,Kyle Juszczyk,Antonio Brown,DeAndre Hopkins,Julio Jones,Davante Adams,Antonio Gibson,Christian McCaffrey,Kyle Juszczyk
FB,Anthony Sherman,Todd Gurley,James Develin,DeAndre Hopkins,Michael Thomas,DeAndre Hopkins,Stefon Diggs,Cooper Kupp,Kyle Juszczyk,Michael Burton
WR,John Kuhn,Jonathan Stewart,Julio Jones,Julio Jones,Tyreek Hill,Chris Godwin,Tyreek Hill,Davante Adams,Justin Jefferson,Patrick Ricard
WR,Bruce Miller,Patrick DiMarco,Antonio Brown,Michael Thomas,Julio Jones,Keenan Allen,DeAndre Hopkins,Deebo Samuel,Davante Adams,Hunter Luepke
WR,Antonio Brown,Mike Tolbert,Mike Evans,Adam Thielen,Keenan Allen,Mike Evans,Justin Jefferson,Ja'Marr Chase,Tyreek Hill,CeeDee Lamb
WR,Dez Bryant,Antonio Brown,Odell Beckham Jr.,Keenan Allen,Travis Kelce,George Kittle,D.K. Metcalf,Tyreek Hill,A.J. Brown,Tyreek Hill
WR,Jordy Nelson,Julio Jones,T.Y. Hilton,Rob Gronkowski,George Kittle,Travis Kelce,A.J. Brown,Justin Jefferson,Stefon Diggs,Amon-Ra St. Brown
WR,Odell Beckham Jr.,Larry Fitzgerald,Travis Kelce,Travis Kelce,Zach Ertz,Austin Ekeler,Calvin Ridley,Mark Andrews,CeeDee Lamb,Brandon Aiyuk
WR,Emmanuel Sanders,DeAndre Hopkins,Greg Olsen,Zach Ertz,Christian McCaffrey,Anthony Castonzo,Cole Beasley,Travis Kelce,Amon-Ra St. Brown,Nico Collins
TE,Julio Jones,Odell Beckham Jr.,David Bakhtiari,Hunter Henry,Alvin Kamara,Laremy Tunsil,Travis Kelce,George Kittle,Travis Kelce,A.J. Brown
TE,Demaryius Thomas,Brandon Marshall,Tyron Smith,David Bakhtiari,Duane Brown,Ryan Ramczyk,T.J. Hockenson,Jordan Mailata,George Kittle,Puka Nacua
TE,Randall Cobb,Doug Baldwin,Trent Williams,Joe Staley,Tyron Smith,Ronnie Stanley,Darren Waller,Tristan Wirfs,Andrew Thomas,D.J. Moore
OL,Rob Gronkowski,A.J. Green,Joe Thomas,Trent Williams,Mitchell Schwartz,David Bakhtiari,Allen Robinson,Trent Williams,Lane Johnson,Mike Evans
OL,Greg Olsen,Rob Gronkowski,Donald Penn,Andrew Whitworth,David Bakhtiari,Mitchell Schwartz,Jack Conklin,Rashawn Slater,Trent Williams,George Kittle
OT,Tyron Smith,Greg Olsen,Kelechi Osemele,Lane Johnson,Terron Armstead,Joe Thuney,David Bakhtiari,Kolton Miller,Laremy Tunsil,Travis Kelce
OT,Jason Peters,Delanie Walker,Zack Martin,Taylor Lewan,Taylor Lewan,Joel Bitonio,Trent Williams,Zack Martin,Terron Armstead,T.J. Hockenson
OG,Joe Thomas,Joe Thomas,Marshal Yanda,Mitchell Schwartz,Joel Bitonio,Quenton Nelson,Garett Bolles,Joel Bitonio,Joel Bitonio,Sam LaPorta
OG,Andrew Whitworth,Tyron Smith,T.J. Lang,Alejandro Villanueva,Quenton Nelson,Zack Martin,Quenton Nelson,Ali Marpet,Zack Martin,Tyron Smith
OG,Kelechi Osemele,Andrew Whitworth,Travis Frederick,Andrew Norwell,Zack Martin,Marshal Yanda,Joel Bitonio,Quenton Nelson,Chris Lindstrom,Jordan Mailata
OG,Marshal Yanda,Trent Williams,Rodney Hudson,Joel Bitonio,Marshal Yanda,Brandon Brooks,Brandon Scherff,Jason Kelce,Joe Thuney,Trent Williams
C,Josh Sitton,Richie Incognito,Alex Mack,Rodger Saffold,Brandon Brooks,Jason Kelce,Ali Marpet,Creed Humphrey,Jason Kelce,Penei Sewell
C,Joel Bitonio,Marshal Yanda,Kevin Zeitler,David DeCastro,Jason Kelce,Rodney Hudson,Corey Linsley,Corey Linsley,Creed Humphrey,Dion Dawkins
OG,Zack Martin,Zack Martin,David DeCastro,Zack Martin,Maurkice Pouncey,Ryan Jensen,Jason Kelce,Shaq Mason,Michael Onwenu,Laremy Tunsil
OT,Kyle Long,David DeCastro,Jack Conklin,Brandon Brooks,Rodney Hudson,Cameron Jordan,Ryan Kelly,Wyatt Teller,Tristan Wirfs,Tyler Smith
DL,Travis Frederick,Josh Sitton,Marcus Cannon,Kelechi Osemele,Shaq Mason,Joey Bosa,Frank Ragnow,Lane Johnson,Aaron Donald,Joe Thuney
DL,Nick Mangold,Mike Iupati,Mitchell Schwartz,Jason Kelce,Ryan Ramczyk,Danielle Hunter,Wyatt Teller,Jeffery Simmons,Jeffery Simmons,Zack Martin
DL,Maurkice Pouncey,Ryan Kalil,Khalil Mack,Alex Mack,J.J. Watt,Za'Darius Smith,Tristan Wirfs,Christian Wilkins,Cameron Heyward,Chris Lindstrom
DE,T.J. Lang,Travis Frederick,Jadeveon Clowney,Maurkice Pouncey,Danielle Hunter,Calais Campbell,Ryan Ramczyk,Myles Garrett,Nick Bosa,Joel Bitonio
DE,Lane Johnson,Rodney Hudson,Brandon Graham,Travis Frederick,Cameron Jordan,Aaron Donald,Myles Garrett,Nick Bosa,Myles Garrett,Jason Kelce
DE,Sebastian Vollmer,Alex Mack,Cliff Avril,Daryl Williams,Myles Garrett,Cameron Heyward,Joey Bosa,Maxx Crosby,Maxx Crosby,Frank Ragnow
DE,J.J. Watt,Joe Berger,Aaron Donald,Demar Dotson,DeMarcus Lawrence,Grady Jarrett,Trey Hendrickson,Cameron Jordan,Brian Burns,Creed Humphrey
DT,Mario Williams,Ryan Schraeder,Damon Harrison,Cameron Jordan,Trey Flowers,Chris Jones,Cameron Jordan,Aaron Donald,Chris Jones,Kevin Dotson
DT,Robert Quinn,Mitchell Schwartz,Geno Atkins,Calais Campbell,Fletcher Cox,DeForest Buckner,Chase Young,Cameron Heyward,Dexter Lawrence,Lane Johnson
DT,Calais Campbell,Khalil Mack,Calais Campbell,Everson Griffen,Aaron Donald,D.J. Reader,DeMarcus Lawrence,Chris Jones,Quinnen Williams,Derrick Brown
DT,Fletcher Cox,J.J. Watt,Ndamukong Suh,DeMarcus Lawrence,Chris Jones,T.J. Watt,Aaron Donald,Jonathan Allen,Javon Hargrave,Justin Madubuike
DT,Cameron Wake,Olivier Vernon,Gerald McCoy,Joey Bosa,Geno Atkins,Chandler Jones,Chris Jones,Micah Parsons,Daron Payne,Myles Garrett
OLB,Ndamukong Suh,Ezekiel Ansah,Von Miller,Aaron Donald,Akiem Hicks,Shaquil Barrett,DeForest Buckner,T.J. Watt,Micah Parsons,Maxx Crosby
OLB,Marcell Dareus,Michael Bennett,Vic Beasley,Fletcher Cox,Khalil Mack,Matt Judon,Fletcher Cox,Robert Quinn,Haason Reddick,Trey Hendrickson
OLB,Gerald McCoy,Muhammad Wilkerson,Lorenzo Alexander,Geno Atkins,Von Miller,Bobby Wagner,Cameron Heyward,Matt Judon,Matt Judon,Nick Bosa
OLB,Aaron Donald,Cameron Jordan,Ryan Kerrigan,Cameron Heyward,Shaquille Leonard,Shaquille Leonard,T.J. Watt,De'Vondre Campbell,Matt Milano,Aidan Hutchinson
OLB,Sheldon Richardson,Aaron Donald,Bobby Wagner,Malik Jackson,Ryan Kerrigan,Demario Davis,Khalil Mack,Shaquille Leonard,Alex Highsmith,Aaron Donald
ILB,Kyle Williams,Geno Atkins,Dont'a Hightower,Ndamukong Suh,Bobby Wagner,Eric Kendricks,Za'Darius Smith,Demario Davis,Fred Warner,Chris Jones
ILB,Muhammad Wilkerson,Ndamukong Suh,Luke Kuechly,Kawann Short,C.J. Mosley,Luke Kuechly,Bradley Chubb,Roquan Smith,Roquan Smith,Dexter Lawrence
LB,Johnathan Hankins,Kawann Short,Sean Lee,Chandler Jones,Luke Kuechly,Lavonte David,Fred Warner,Lavonte David,Bobby Wagner,Quinnen Williams
LB,Justin Houston,Fletcher Cox,K.J. Wright,Von Miller,Leighton Vander Esch,Stephon Gilmore,Shaquille Leonard,Bobby Wagner,T.J. Edwards,Micah Parsons
LB,Von Miller,Linval Joseph,Paul Posluszny,Ryan Kerrigan,Zach Brown,Tre'Davious White,Bobby Wagner,Jalen Ramsey,C.J. Mosley,T.J. Watt
LB,Elvis Dumervil,Damon Harrison,Zach Brown,Jadeveon Clowney,Kyle Fuller,Marcus Peters,Roquan Smith,Trevon Diggs,Lavonte David,Danielle Hunter
