Player,Pos,School,College,Ht,feet,inch,ht_inch,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Kris Abrams-Draine,CB,Missouri,College Stats,11-May,5,11,71,179,4.44,33.5,20.23611,,,
Isaiah Adams,G,Illinois,College Stats,4-Jun,6,4,76,315,5.22,24.5,,102,7.77,4.73
Rasheen Ali,RB,Marshall,College Stats,11-May,5,11,71,206,,,,,,
Erick All,TE,Iowa,College Stats,4-Jun,6,4,76,252,,,,,,
Braelon Allen,RB,Wisconsin,College Stats,1-Jun,6,1,73,235,,32,26,117,,
Joe Alt,OT,Notre Dame,College Stats,9-Jun,6,9,81,321,5.05,28,,112,7.31,4.51
Kiran Amegadjie,OT,Yale,,5-Jun,6,5,77,323,,,,,,
Daijahn Anthony,SAF,Mississippi,College Stats,Jun-00,6,1,73,195,4.55,37,,116,,
Terrion Arnold,CB,Alabama,College Stats,Jun-00,6,1,73,189,4.5,37,,129,,
Gottlieb Ayedze,G,Maryland,College Stats,4-Jun,6,4,76,308,5.01,26.5,,112,,
Emani Bailey,RB,TCU,College Stats,7-May,5,7,67,202,4.61,33.5,,116,,
Javon Baker,WR,Central Florida,College Stats,1-Jun,6,1,73,202,4.54,37,,121,,
AJ Barner,TE,Michigan,College Stats,6-Jun,6,6,78,251,,,,,,
Karsen Barnhart,G,Michigan,College Stats,5-Jun,6,5,77,306,5.21,29.5,,111,7.83,4.7
Michael Barrett,LB,Michigan,College Stats,11-May,5,11,71,233,,,,,,
Graham Barton,C,Duke,College Stats,5-Jun,6,5,77,313,,,,,,
Cooper Beebe,G,Kansas St.,College Stats,3-Jun,6,3,75,322,5.03,27.5,,109,7.44,4.61
Jaheim Bell,TE,Florida St.,College Stats,2-Jun,6,2,74,241,4.61,35,,124,,
Trey Benson,RB,Florida St.,College Stats,Jun-00,6,1,73,216,4.39,33.5,,122,,
JD Bertrand,LB,Notre Dame,College Stats,1-Jun,6,1,73,235,,,20,,,
Tatum Bethune,LB,Florida St.,College Stats,Jun-00,6,1,73,229,,,16,,,
Keaton Bills,G,Utah,College Stats,5-Jun,6,5,77,321,5.38,29.5,,101,7.95,4.9
Cole Bishop,SAF,Utah,College Stats,2-Jun,6,2,74,206,4.45,39,,124,,
Austin Booker,EDGE,Kansas,College Stats,5-Jun,6,5,77,240,4.79,32.5,,120,,
Tanor Bortolini,C,Wisconsin,,4-Jun,6,4,76,303,4.94,32.5,,112,7.16,4.28
Brock Bowers,TE,Georgia,College Stats,3-Jun,6,3,75,243,,,,,,
Beau Brade,SAF,Maryland,College Stats,Jun-00,6,1,73,203,,,,,,
Millard Bradford,SAF,TCU,,11-May,5,11,71,191,4.42,38.5,15,124,,
Chris Braswell,EDGE,Alabama,College Stats,3-Jun,6,3,75,251,4.6,33.5,,115,,
Jonathon Brooks,RB,Texas,College Stats,Jun-00,6,1,73,216,,,,,,
Jarvis Brownlee,CB,Louisville,College Stats,10-May,5,10,70,194,,,,,,
Javon Bullard,SAF,Georgia,College Stats,11-May,5,11,71,198,4.47,,,,,
Calen Bullock,SAF,USC,College Stats,2-Jun,6,2,74,188,4.48,,,,,
Jermaine Burton,WR,Alabama,College Stats,Jun-00,6,1,73,196,4.45,38.5,,133,,
Solomon Byrd,EDGE,USC,College Stats,3-Jun,6,3,75,255,,,,,,
Jaylon Carlies,SAF,Missouri,College Stats,3-Jun,6,3,75,227,4.5,32.5,20,125,,
Caelen Carson,CB,Wake Forest,College Stats,Jun-00,6,1,73,199,,,,,,
DeWayne Carter,DT,Duke,College Stats,2-Jun,6,2,74,302,4.99,32,,109,7.95,4.75
Aaron Casey,LB,Indiana,College Stats,1-Jun,6,1,73,231,4.75,30,16,117,,
Nelson Ceaser,EDGE,Houston,College Stats,3-Jun,6,3,75,254,,31,22,,7.3,4.57
Steele Chambers,LB,Ohio St.,College Stats,1-Jun,6,1,73,226,,33.5,,112,7.13,4.23
Javion Cohen,G,Miami,College Stats,4-Jun,6,4,76,324,,26.5,,104,,
Jalen Coker,WR,Holy Cross,,1-Jun,6,1,73,208,4.57,42.5,,128,,
Andrew Coker,OT,TCU,College Stats,7-Jun,6,7,79,315,5.36,25.5,,94,7.95,4.93
Myles Cole,DE,Texas Tech,College Stats,6-Jun,6,6,78,278,4.67,35,,120,,
Brandon Coleman,G,TCU,College Stats,5-Jun,6,5,77,313,4.99,34,,114,,
Keon Coleman,WR,Florida St.,College Stats,3-Jun,6,3,75,213,4.61,38,,127,,
Junior Colson,LB,Michigan,College Stats,2-Jun,6,2,74,238,,,,,,
Ryan Cooper,CB,Oregon St.,College Stats,11-May,5,11,71,184,,,,,,
Edgerrin Cooper,LB,Texas A&M,College Stats,2-Jun,6,2,74,230,4.51,34.5,,118,,
Malachi Corley,WR,Western Kentucky,College Stats,11-May,5,11,71,215,,,,,,
Blake Corum,RB,Michigan,College Stats,8-May,5,8,68,205,4.53,35.5,27,,6.82,4.12
Jacob Cowing,WR,Arizona,College Stats,8-May,5,8,68,168,4.38,36,,119,7.02,4.32
Frank Crum,OT,Wyoming,College Stats,8-Jun,6,8,80,313,4.94,31.5,,114,7.39,4.73
Jaden Crumedy,DT,Mississippi St.,College Stats,4-Jun,6,4,76,301,4.97,29.5,,105,,4.66
Devin Culp,TE,Washington,College Stats,3-Jun,6,3,75,231,4.47,,,,,
Jayden Daniels,QB,LSU,College Stats,4-Jun,6,4,76,210,,,,,,
